depth_m	age_gas_calBP	age_gas_calBPerr	co2_ppm	co2_1s_ppm	notes
521.98	8471.10	2.40	263.15	0.36	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
522.44	8485.35	0.65	262.75	0.03	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
522.94	8500.80	0.20	265.43	0.34	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
523.30	8511.60	0.30	264.93	0.84	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
523.92	8530.90	1.10	267.68	0.64	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
524.42	8546.45	0.35	264.25	0.71	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
525.13	8569.10	1.60	268.09	0.71	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
525.11	8568.30	0.20	265.58	0.03	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
525.61	8584.10	0.40	264.82	1.05	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
526.37	8607.95	0.35	265.83	0.16	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
527.04	8629.45	0.95	266.52	0.42	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
527.68	8649.30	0.60	266.15	0.92	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
528.41	8672.00	0.50	265.37	0.31	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
529.00	8690.00	0.50	268.89	0.55	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
529.51	8705.60	0.30	266.40	0.61	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
530.04	8721.95	0.25	265.33	0.24	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
530.52	8736.40	0.30	265.54	0.03	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
531.02	8751.95	0.45	266.45	1.09	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
531.45	8765.45	0.65	265.49	0.16	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
532.08	8784.65	0.65	266.86	0.11	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
532.57	8799.75	0.85	265.72	0.22	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
533.09	8815.60	1.90	266.28	0.46	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
533.52	8828.70	0.30	265.82	0.02	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
533.95	8842.05	1.55	266.87	0.20	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
534.52	8859.60	0.50	263.94	0.28	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
534.91	8871.60	1.70	266.76	0.90	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
535.43	8887.80	0.40	263.90	0.45	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
536.05	8907.05	1.55	263.63	0.32	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
536.28	8914.00	0.70	264.54	0.48	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
537.11	8939.70	1.00	262.36	1.02	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
537.52	8952.00	0.30	262.50	0.02	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
538.07	8968.85	1.65	264.27	0.45	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
538.52	8982.50	0.30	264.46	0.40	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
					
726.01	21925.90		184.46	0.50	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
727.78	22292.20		187.22	0.45	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
728.05	22347.60		187.02	1.25	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
729.12	22550.10		184.68	0.20	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
729.49	22604.10		185.21	1.63	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
730.03	22650.80		188.49	0.23	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
731.15	22749.30		190.01	0.25	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
732.14	22833.60		186.13	0.13	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
733.90	22994.00		189.40	1.13	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
734.11	23013.80		190.53	0.64	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
735.19	23107.30		190.08	0.82	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
